Nome,Precos
['Kit Cerveja PATAGONIA Amber Lager Lata 473ml 6 Unidades'],"['R$38,94']"
['Cerveja Colorado Ribeirão Lager 600ml Garrafa CX C/12'],"['R$131,88']"
['Kit 15 Cerveja BRAHMA Chopp Lata 269ml & 2 Ovinhos de Amendoim Elma Chips Pacote 170g'],"['R$51,33']"
['Kit 2 Canecas de CHOPP 400ML + Cerveja BRAHMA DUPLO MALTE 350 ml Lata (Pack 12 unidades)'],"['R$00,00']"
['Kit Churrasco: 1 CAIXA TERMICA MOR 34 L AZUL + Cerveja BRAHMA DUPLO MALTE 350 ml Lata (Pack 24 unidades)'],"['R$206,55']"
['Kit Skol Puro Malte + Doritos Queijo Nacho '],"['R$00,00']"
['Cerveja HEINEKEN Lata 350ml - Caixa com 12 Unidades'],"['R$55,80']"
['Cerveja HEINEKEN Lata 350ml - Caixa com 24 Unidades'],"['R$111,60']"
['Kit 6 Cervejas Eisenbahn American Ipa Puro Malte Lata 350ml + 1 Gran Angus Burger Seara Gourmet 400g'],"['R$00,00']"
['Kit com 2 Cerveja BADEN BADEN Golden 600ml + 1 Kit Risoto de Camarão DELLMARE 340g'],"['R$63,07']"
['Kit com 15 Cervejas SKOL Lata 269ml Cada + Sacola Cooler'],"['R$77,84']"
['Cerveja SKOL 269 ml Lata - 15 Unidades'],"['R$35,85']"
['Kit 15 Cerveja SKOL Lata 269ml & 2 Batata Frita Sensações Sabor Peito de Peru ELMA CHIPS 45g'],"['R$47,23']"
['Cerveja Lager Premium Puro Malte Estrella Galicia Garrafa 600ml'],"['R$00,00']"
['Kit Skol + Torcida Pimenta Mexicana'],"['R$21,04']"
['kit 12 Cerveja Budweiser Long neck 330 ml + 1 Hambúrguer de Carne Bovina Fraldinha Wessel Caixa 360g'],"['R$78,87']"
['Kit Pizza Artesanal Calabrese Seara Gourmet 450g + Ketchup Heinz Squeeze 397g + 6 Cervejas Becks Puro Malte 350ml Lata'],"['R$75,32']"
